Nota_Real,Prediccion_IA,Error_Absoluto
5.5,6.9502000000000095,1.4502000000000095
5.4,5.61620000000002,0.21620000000001927
6.5,6.565400000000007,0.06540000000000656
7.5,6.867800000000014,0.6321999999999859
6.0,6.9232000000000165,0.9232000000000165
6.6,7.130999999999991,0.5309999999999917
6.6,6.244199999999979,0.35580000000002077
5.8,6.051599999999988,0.2515999999999883
6.6,6.722800000000041,0.12280000000004154
7.3,7.612200000000012,0.31220000000001225
6.9,6.930999999999987,0.030999999999986372
7.3,7.153999999999992,0.1460000000000079
6.5,6.916599999999993,0.41659999999999275
6.4,6.819200000000039,0.4192000000000382
5.6,5.2174000000000005,0.38259999999999916
4.8,7.299999999999999,2.499999999999999
5.6,6.7745999999999915,1.1745999999999919
5.1,6.167599999999997,1.067599999999997
6.7,6.787600000000013,0.08760000000001256
7.1,6.9484000000000234,0.1515999999999762
7.3,6.940199999999989,0.35980000000001056
6.6,6.391600000000001,0.20839999999999836
5.2,5.429400000000014,0.22940000000001426
6.1,6.432799999999994,0.33279999999999443
7.4,7.384800000000007,0.015199999999992997
6.7,6.539000000000001,0.1609999999999996
7.8,6.9307999999999925,0.8692000000000073
7.7,7.302800000000014,0.39719999999998645
7.1,6.759399999999994,0.34060000000000556
7.2,6.497999999999968,0.7020000000000319
6.0,6.342799999999997,0.3427999999999969
7.7,6.789999999999984,0.9100000000000161
6.4,6.966400000000039,0.5664000000000389
5.7,5.744200000000003,0.04420000000000268
5.7,6.120600000000011,0.42060000000001097
5.7,5.918400000000006,0.21840000000000614
7.2,6.688800000000016,0.5111999999999846
5.5,6.015000000000007,0.5150000000000068
5.7,6.372199999999993,0.672199999999993
6.6,6.7150000000000185,0.11500000000001886
7.0,6.396200000000009,0.6037999999999908
5.6,5.479799999999998,0.12020000000000142
7.4,7.116800000000004,0.28319999999999634
7.3,6.558200000000002,0.7417999999999978
6.8,6.331399999999983,0.4686000000000172
3.7,5.529999999999997,1.8299999999999965
6.4,6.41220000000001,0.012200000000009759
7.8,7.322999999999989,0.47700000000001097
7.5,7.529200000000021,0.029200000000020765
7.1,7.58320000000001,0.48320000000001073
5.6,5.89380000000001,0.2938000000000107
7.0,6.7922000000000144,0.20779999999998555
6.9,6.603000000000007,0.2969999999999935
4.6,5.853600000000019,1.2536000000000191
6.6,5.931999999999979,0.6680000000000206
6.5,6.563799999999993,0.06379999999999342
3.4,5.259200000000004,1.8592000000000044
6.0,6.584200000000018,0.5842000000000178
3.3,5.287599999999998,1.9875999999999978
6.6,6.362199999999982,0.23780000000001777
5.4,5.685000000000004,0.2850000000000037
3.7,5.204200000000007,1.504200000000007
6.9,5.760999999999988,1.1390000000000127
6.6,5.801799999999978,0.7982000000000218
7.4,6.081600000000009,1.3183999999999916
6.3,6.893400000000028,0.5934000000000283
5.8,5.542200000000007,0.2577999999999925
5.2,5.756399999999988,0.5563999999999876
6.9,6.387800000000015,0.5121999999999858
5.5,5.327799999999996,0.17220000000000368
5.5,6.559799999999986,1.0597999999999859
5.9,6.755199999999975,0.8551999999999742
5.9,5.348200000000003,0.5517999999999974
8.0,7.378400000000017,0.621599999999983
7.3,7.294200000000028,0.005799999999971384
6.5,6.415600000000005,0.08439999999999515
6.9,7.139999999999987,0.2399999999999869
5.2,5.714600000000008,0.5146000000000077
6.3,6.334399999999997,0.0343999999999971
5.0,6.207999999999991,1.2079999999999913
7.0,6.498000000000006,0.5019999999999936
8.7,6.538999999999993,2.1610000000000067
3.9,4.949799999999988,1.0497999999999883
5.7,5.825399999999968,0.12539999999996798
6.8,7.521399999999985,0.7213999999999849
7.3,5.88080000000001,1.4191999999999902
4.4,4.723600000000002,0.32360000000000166
5.6,5.849599999999995,0.2495999999999956
5.9,6.8013999999999815,0.9013999999999811
7.0,6.684799999999987,0.31520000000001325
7.1,7.252200000000002,0.15220000000000233
5.5,5.090800000000017,0.40919999999998335
5.7,6.544,0.8439999999999994
5.5,6.0687999999999835,0.5687999999999835
5.2,6.943200000000003,1.7432000000000025
4.4,5.700399999999981,1.3003999999999802
5.2,5.050800000000012,0.149199999999988
5.7,6.742799999999992,1.0427999999999917
7.2,7.274599999999998,0.07459999999999756
6.0,7.0255999999999945,1.0255999999999945
7.1,6.975599999999977,0.12440000000002271
7.0,7.15420000000002,0.15420000000001988
7.0,7.341600000000025,0.34160000000002544
7.3,6.837200000000001,0.46279999999999877
7.3,6.145599999999997,1.1544000000000025
7.0,6.0964000000000125,0.9035999999999875
5.6,6.948400000000021,1.3484000000000211
